JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258430,abyss-short_BS02_240_133-2_IL30x,2025-12-16T21:59:07,2025-12-16T22:07:40,00:08:33,100G,,10,10,01:25:30,5130,general,0:0,COMPLETED
4258430.batch,batch,2025-12-16T21:59:07,2025-12-16T22:07:40,00:08:33,,16035440K,10,10,01:25:30,5130,,0:0,COMPLETED
4258431,abyss-short_BS02_240_133-2_IL35x,2025-12-16T21:59:35,2025-12-16T22:09:20,00:09:45,100G,,10,10,01:37:30,5850,general,0:0,COMPLETED
4258431.batch,batch,2025-12-16T21:59:35,2025-12-16T22:09:20,00:09:45,,17306444K,10,10,01:37:30,5850,,0:0,COMPLETED
4258432,abyss-short_BS02_240_133-2_IL40x,2025-12-16T22:00:05,2025-12-16T22:11:10,00:11:05,100G,,10,10,01:50:50,6650,general,0:0,COMPLETED
4258432.batch,batch,2025-12-16T22:00:05,2025-12-16T22:11:10,00:11:05,,18476232K,10,10,01:50:50,6650,,0:0,COMPLETED
4258433,abyss-short_BS02_240_133-2_IL50x,2025-12-16T22:00:05,2025-12-16T22:13:23,00:13:18,100G,,10,10,02:13:00,7980,general,0:0,COMPLETED
4258433.batch,batch,2025-12-16T22:00:05,2025-12-16T22:13:23,00:13:18,,20781432K,10,10,02:13:00,7980,,0:0,COMPLETED
4258434,abyss-short_BS02_240_133-2_IL60x,2025-12-16T22:00:37,2025-12-16T22:16:17,00:15:40,100G,,10,10,02:36:40,9400,general,0:0,COMPLETED
4258434.batch,batch,2025-12-16T22:00:37,2025-12-16T22:16:17,00:15:40,,25416492K,10,10,02:36:40,9400,,0:0,COMPLETED
4258435,abyss-short_BS02_240_133-2_IL75x,2025-12-16T22:00:37,2025-12-16T22:19:52,00:19:15,100G,,10,10,03:12:30,11550,general,0:0,COMPLETED
4258435.batch,batch,2025-12-16T22:00:37,2025-12-16T22:19:52,00:19:15,,29708996K,10,10,03:12:30,11550,,0:0,COMPLETED
