sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS06_CNT_340-4	chopper	27171372	27265466	27218419	96.7631	97.0311	96.8971	0.627578	0.627578	0.627578	1449348868	1925.7507065365400	53.248826392157500
BS06_CNT_340-4	np	27125576	27192789	27159182.5	95.8384	96.0121	95.92525	0.670526	0.670526	0.670526	2266066478	1050.1462459531600	83.43647596903920
BS06_CNT_340-4	illumina	24904220	24927881	24916050.5	99.1808	99.1808	99.1808	0.701144	0.701144	0.701144	5067995575	127	203.4028456877630
BS08_120_142-3	chopper	109685	111233	110459	75.7457	79.6639	77.7048	15.5346	15.5346	15.5346	265271830	2221.3722386909800	2401.5411148027800
BS08_120_142-3	np	108961	112107	110534	74.2311	75.9425	75.0868	15.5752	15.5752	15.5752	345546528	1296.8385719057400	3126.156006296710
BS08_120_142-3	illumina	32841300	32911076	32876188	96.7616	96.7616	96.7616	0.599565	0.599565	0.599565	5427392332	127	165.08581627529300
BS08_360_127-6	chopper	45573196	45756569	45664882.5	92.8443	92.9887	92.9165	0.637567	0.637567	0.637567	3776405329	2554.6165401784700	82.69823817021760
BS08_360_127-6	np	13866353	14342783	14104568	98.0656	98.0656	98.0656	2.56885	2.56885	2.56885	5402454970	1195.0049747128000	383.028744304682
BS08_360_127-6	illumina	60984874	63172053	62078463.5	87.6551	87.6551	87.6551	0.733197	0.733197	0.733197	10358687240	127	166.8644269844080
BS09_120_061-2	chopper	17159	19315	18237	69.7273	83.2387	76.483	10.6977	10.6977	10.6977	27562520	6462.490035169990	1511.3516477490800
BS09_120_061-2	np	96820	101657	99238.5	70.8673	84.6622	77.76475000000000	8.9065	8.9065	8.9065	71506070	378.23092872935800	720.5476705109410
BS09_120_061-2	illumina	42047875	42975299	42511587	94.1588	94.1588	94.1588	1.08751	1.08751	1.08751	10222010199	126	240.45233124324400
BS09_240_002-7	chopper	11294932	11546449	11420690.5	88.5724	89.9782	89.2753	1.15862	1.15862	1.15862	348616444	11134.703887061200	30.524988309594800
BS09_240_002-7	np	11437908	11718457	11578182.5	87.2397	89.1113	88.1755	1.23994	1.23994	1.23994	373374573	2177.7080191072800	32.24811605793910
BS09_240_002-7	illumina	4504382	6895674	5700028	98.5805	98.5805	98.5805	1.71271	1.71271	1.71271	3291190090	127	577.3989338297990
BS09_360_082-3	chopper	32044294	32318616	32181455	94.8282	99.0848	96.9565	1.30612	1.30612	1.30612	683200844	1925.3988997734200	21.229644340195300
