sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS02_120_076-2	chopperk21p1	35236533	37553403	36394968	88.7667	95.032	91.89935	2.08991	2.08991	2.08991	1029934941	2039.745750426294	28.29882804128307
BS02_120_076-2	chopperk13p1	17457108	NA	NA	86.3629	73.0671	79.715	0	0	0	1029934941	2039.745750426294	NA
BS02_120_076-2	chopperk13	17545522	18697315	18121418.5	81.6002	94.0129	87.80655	0.55823	0.55823	0.55823	1029934941	2039.745750426294	56.83522738575901
BS02_120_076-2	chopperk101	40119497	40418168	40268832.5	90.709	99.0562	94.8826	0.707178	0.707178	0.707178	1029934941	2039.745750426294	25.57647880653108
BS02_120_076-2	chopper	40815395	41026089	40920742	94.5346	99.3846	96.9596	1.66727	1.66727	1.66727	1029934941	2039.745750426294	25.16901919813673
BS02_120_076-2	np	38746984	38782702	38764843	97.1884	98.6008	97.8946	1.5043	1.5043	1.5043	3107609373	532.8794097327192	80.165663846491
BS02_120_076-2	illumina	33076045	33252755	33164400	96.9522	96.9522	96.9522	0.931598	0.931598	0.931598	8888431560	127	268.01122770199373
BS02_240_133-2	chopperk57p1	34300729	34521451	34411090	97.4948	99.2234	98.3591	0.515325	0.515325	0.515325	943431136	2377.994162335469	27.4164850924513
BS02_240_133-2	chopperk21p1	34226899	34476845	34351872	92.9715	98.3906	95.68105	0.730587	0.730587	0.730587	943431136	2377.994162335469	27.463747419645717
BS02_240_133-2	chopperk13p1	64682	NA	NA	54.6197	65.8974	60.25855	0	0	0	943431136	2377.994162335469	NA
BS02_240_133-2	chopperk13	17092038	17353427	17222732.5	85.0145	93.1065	89.06049999999999	0.257902	0.257902	0.257902	943431136	2377.994162335469	54.77824938638511
BS02_240_133-2	chopperk101	17087696	17222343	17155019.5	98.2642	98.812	98.5381	0.418535	0.418535	0.418535	943431136	2377.994162335469	54.99446596373732
BS02_240_133-2	chopper	34801437	34875797	34838617	94.8621	99.1058	96.98395	0.673025	0.673025	0.673025	943431136	2377.994162335469	27.080039830513364
BS02_240_133-2	np	34901216	34984006	34942611	95.2834	98.6613	96.97235	0.823699	0.823699	0.823699	1970243461	692.6928044439367	56.385124196929645
BS02_240_133-2	illumina	32175718	32243923	32209820.5	96.8446	96.8446	96.8446	0.627019	0.627019	0.627019	4816217304	127	149.52636274393396
BS02_240_133-4	chopperk57p1	34551815	34589915	34570865	98.9641	99.5289	99.2465	0.508383	0.508383	0.508383	711441838	2149.286698709718	20.579231615986465
BS02_240_133-4	chopperk21p1	34143118	34364827	34253972.5	97.6244	98.9388	98.2816	0.731447	0.731447	0.731447	711441838	2149.286698709718	20.769615494961936
BS02_240_133-4	chopperk13p1	204568	NA	NA	61.4398	68.9967	65.21825	0	0	0	711441838	2149.286698709718	NA
BS02_240_133-4	chopperk13	17095838	17405308	17250573	87.6123	94.7119	91.16210000000001	0.217101	0.217101	0.217101	711441838	2149.286698709718	41.24163516191607
BS02_240_133-4	chopperk101	14359497	14960086	14659791.5	90.6056	91.0696	90.8376	0.524348	0.524348	0.524348	711441838	2149.286698709718	48.5301471033882
BS02_240_133-4	chopper	35056919	35080113	35068516	98.7326	99.7594	99.24600000000001	0.647563	0.647563	0.647563	711441838	2149.286698709718	20.28719544334297
